,0,1,2,3,4,5,6
0,1.,04-Sep-2023 06:55 PM,25-Oct-2023 11:00 AM,26-Oct-2023 11:30 AM,[Development of 4 lane EC from Chandrakona Ghatal Road Crossing to Bowaichandi sec Km41.000 to Km89.814 of NH 116A (Package2)in the state of West Bengal under HAM Mode][NHAI/WB/ EC/Kharagpur Moregram/GF /Pkg2/2023][2023_NHAI_166636_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,"15,03,29,00,000"
1,2.,04-Sep-2023 06:55 PM,11-Sep-2023 04:00 PM,12-Sep-2023 04:30 PM,"[The Extension of Sub Block Veterinary Dispensary at Arda, Kanaktora in the Jharsuguda Districts of Odisha][NPCC/SEZ/CA/VET-JHA/341][2023_NPCC_166638_1]",National Projects Construction Corporation Limited||South Eastern Zone (Bhubaneswar) - NPCC,NA
2,3.,04-Sep-2023 06:40 PM,19-Sep-2023 03:00 PM,20-Sep-2023 03:00 PM,[Emergent filling of potholes at Ulladabri section from km 63.000 to km 65.000 of NH-31D in the State of West Bengal. ][06/2023-24/NH-31D/ Ulladabri/ER/2nd call][2023_NHAI_166595_1],National Highways Authority of India||RO-Kolkata - NHAI,NA
3,4.,04-Sep-2023 06:30 PM,14-Sep-2023 03:00 PM,15-Sep-2023 03:30 PM,[Supply of 120 boxes of HBA1C Cartridges Afinion 15 cartridges at VOCPA Hospital for a period of 6 Months under rate contract][MED-OFXOF-MED-SURGI-V1-17][2023_VOCPT_166593_1],V.O.Chidambaranar Port Trust||Medical Department - Administration Office,NA
4,5.,04-Sep-2023 06:30 PM,15-Sep-2023 05:30 PM,18-Sep-2023 11:30 AM,[Annual Comprehensive Hardware Maintenance Contract of Plant IT OT CCTV assets][JPL C N M Contracts NIT 23-24 1200007738][2023_JPL_166607_1],Jhabua Power Ltd,NA
5,6.,04-Sep-2023 06:15 PM,18-Oct-2023 11:00 AM,19-Oct-2023 11:30 AM,[Supervision Consultancy Services for Operation and Maintenance of Piska More Palma section From Km. 3.500 to Km. 26.000 of NH 23 and Kutchery Chowk RanchiBijupara Section From Km. 3.560 to Km. 34.000 and  Bijupara Kuru from Km. 34.000 to Km. 55.000  ][NHAI/RO/RNC/JH/2023-24/09 ][2023_NHAI_166632_1],National Highways Authority of India||RO-Ranchi - NHAI,0.00
6,7.,04-Sep-2023 06:00 PM,16-Sep-2023 03:00 PM,18-Sep-2023 03:30 PM,[AMC OF XFe24 Extracellular Flux Analyzer ][IICB/PUR/599/516/AMC/06/23-24][2023_CSIR_166601_1],Council of Scientific and Industrial Research||IICB-Koolkatta - CSIR||Purchase-IICB - CSIR,NA
7,8.,04-Sep-2023 06:00 PM,26-Sep-2023 02:00 PM,27-Sep-2023 02:30 PM,"[Supply, Integration and Installation of Crystallization System   ][CFTRI/82404/2023][2023_CSIR_166612_1]",Council of Scientific and Industrial Research||CFTRI-Mysore - CSIR||Purchase-CFTRI - CSIR,NA
8,9.,04-Sep-2023 06:00 PM,25-Oct-2023 11:00 AM,26-Oct-2023 11:30 AM,[Development of 4 lane Economic Corridor from Before Mayurakshi Bridge Approach to Moregram section  Km 180.000 to Km 230.957 of NH116A (Package 5) in the state of West Bengal under HAM Mode.][NHAI/WB//EC/Kharagpur Moregram/Greenfield/Pkg-5/20][2023_NHAI_166611_1],National Highways Authority of India||Head Office - NHAI||Technical - NHAI,"12,26,91,00,000"
9,10.,04-Sep-2023 06:00 PM,09-Sep-2023 06:35 PM,11-Sep-2023 02:30 PM,[PUR/IICT/DMS/361-RE1/23-24][PUR/IICT/DMS/361/RE-1/23-24][2023_CSIR_166614_1],Council of Scientific and Industrial Research||IICT-Hyderabad - CSIR||Purchase-IICT - CSIR,NA
